old_package_id,old_package_name,old_package_type,old_price,customer_references,new_package_id,new_package_name,new_package_type,new_price,match_score,confidence
165,K TAMIL,MSO_PACKAGE,300.00,85,581,VK TAMIL,ADDON,300.00,0.875,HIGH
166,K-Tamil,MSO_PACKAGE,0.00,52,581,VK TAMIL,ADDON,300.00,0.875,HIGH
167,VK TAMIL SILVER PACK,MSO_PACKAGE,240.00,12,582,VK TAMIL SILVER PACK NEW,ADDON,215.02,0.833,HIGH
168,VK MEGA HD PACK,MSO_PACKAGE,390.00,68,579,VK MEGA HD PACK,ADDON,400.00,1.000,EXACT
169,K ONE,MSO_PACKAGE,270.00,15,580,VK ONE,ADDON,280.00,0.833,HIGH
170,VK VILLAGE,MSO_PACKAGE,280.00,3,580,VK ONE,ADDON,280.00,0.333,REVIEW
171,NEW K TAMIL,MSO_PACKAGE,290.00,7,569,K Hindi Tamil Prime HD,ADDON,460.00,0.333,REVIEW
172,K TAMIL + STAR SPORTS1,MSO_PACKAGE,325.00,1,576,Star Tamil HD,ADDON,0.00,0.400,REVIEW
173,"VK MEGA HD PACK, STAR MOVIES HD, BBC WORLD NEWS",MSO_PACKAGE,0.00,1,579,VK MEGA HD PACK,ADDON,400.00,0.444,REVIEW
174,VK ONE,MSO_PACKAGE,280.00,416,580,VK ONE,ADDON,280.00,1.000,EXACT
175,"VK TAMIL SILVER PACK, STAR VIJAY",MSO_PACKAGE,240.00,1,582,VK TAMIL SILVER PACK NEW,ADDON,215.02,0.571,REVIEW
176,K TAMIL + ASIANET MOVIES + SURYA MOVIES,MSO_PACKAGE,340.00,1,595,ASIANET MOVIES,ALACARTE,25.00,0.400,REVIEW
177,"K-Tamil, Disney",MSO_PACKAGE,0.00,1,632,DISNEY,ALACARTE,17.00,0.429,REVIEW
178,MEGA HD,MSO_PACKAGE,390.00,2,579,VK MEGA HD PACK,ADDON,400.00,0.500,REVIEW
179,K ONE + STAR VIJAY,MSO_PACKAGE,270.00,19,794,STAR VIJAY,ALACARTE,25.00,0.625,REVIEW
180,Nil,MSO_PACKAGE,0.00,1,488,Disney Kids Pack,BROADCAST,22.10,0.000,REVIEW
181,K_Tamil,MSO_PACKAGE,0.00,1,581,VK TAMIL,ADDON,300.00,0.875,HIGH
182,K TAMIL + Star Jalsha + Zee Bangla + Zee Bangla Cinema + ZEE 24 GHANTA,MSO_PACKAGE,300.00,1,834,ZEE 24 GHANTA,ALACARTE,1.00,0.333,REVIEW
183,K TAMIL + 	Disney Kids Pack,MSO_PACKAGE,320.00,1,488,Disney Kids Pack,BROADCAST,22.10,0.667,REVIEW
184,K TAMIL ONE,MSO_PACKAGE,149.00,2,569,K Hindi Tamil Prime HD,ADDON,460.00,0.333,REVIEW
185,VK TAMIL,MSO_PACKAGE,300.00,3768,581,VK TAMIL,ADDON,300.00,1.000,EXACT
186,K TAMIL ONE +  Disney Kids Pack,MSO_PACKAGE,325.00,12,488,Disney Kids Pack,BROADCAST,22.10,0.571,REVIEW
187,K TAMIL ONE + ASIANET HD,MSO_PACKAGE,330.00,1,594,ASIANET HD,ALACARTE,30.00,0.455,REVIEW
188,K MAX ONE,MSO_PACKAGE,330.00,6,580,VK ONE,ADDON,280.00,0.250,REVIEW
189,star sports 1,MSO_PACKAGE,0.00,5,767,STAR SPORTS 1,ALACARTE,25.00,1.000,EXACT
190,BASIC TIER NEW + SUN TV,MSO_PACKAGE,195.00,2,800,SUN TV,ALACARTE,25.00,0.400,REVIEW
191,Super Hungama,MSO_PACKAGE,5.00,2,802,Super Hungama,ALACARTE,8.00,1.000,EXACT
192,K MAX ONE + Disney Kids Pack,MSO_PACKAGE,350.00,1,488,Disney Kids Pack,BROADCAST,22.10,0.615,REVIEW
193,K TAMIL ONE + Zee Cinema + ASIANET + ASIANET MOVIES + ASIANET PLUS + ZEE KERALAM + Sun Malayalam Basic + FLOWERS TV,MSO_PACKAGE,450.00,1,524,Sun Malayalam Basic,BROADCAST,31.20,0.214,REVIEW
194,VK TAMIL +  Disney Kids Pack,MSO_PACKAGE,325.00,1,488,Disney Kids Pack,BROADCAST,22.10,0.640,REVIEW
195,K TAMIL ONE + DISNEY JUNIOR,MSO_PACKAGE,305.00,2,635,DISNEY JUNIOR,ALACARTE,7.00,0.520,REVIEW
196,BASIC + STAR VIJAY,MSO_PACKAGE,195.00,2,794,STAR VIJAY,ALACARTE,25.00,0.667,REVIEW
197,NEW K MAX,MSO_PACKAGE,330.00,1,669,Jaya Max,ALACARTE,5.00,0.250,REVIEW
198,K Hindi Tamil Prime SD,MSO_PACKAGE,390.00,6,570,K Hindi Tamil Prime SD,ADDON,460.00,1.000,EXACT
199,STAR SPORTS HD2,MSO_PACKAGE,25.00,2,785,STAR SPORTS HD2,ALACARTE,25.00,1.000,EXACT
200,COLORS HD,MSO_PACKAGE,25.00,1,615,COLORS HD,ALACARTE,25.00,1.000,EXACT
201,VK ONE  BBC WORLD NEWS TRAVEL XP SD TRAVEL XP TAMIL,MSO_PACKAGE,290.00,1,598,BBC WORLD NEWS,ALACARTE,4.00,0.333,REVIEW
202,VK ONE + Power,MSO_PACKAGE,240.00,10,580,VK ONE,ADDON,280.00,0.667,REVIEW
203,K SELECT + STAR VIJAY,MSO_PACKAGE,290.00,9,794,STAR VIJAY,ALACARTE,25.00,0.526,REVIEW
204,ZEE KERALAM  DISNEY CHANNEL HD,MSO_PACKAGE,35.00,1,633,DISNEY CHANNEL HD,ALACARTE,22.00,0.600,REVIEW
205,star sports HD1,MSO_PACKAGE,25.00,5,784,STAR SPORTS HD1,ALACARTE,25.00,1.000,EXACT
206,Disney Kids Pack,MSO_PACKAGE,20.00,13,488,Disney Kids Pack,BROADCAST,22.10,1.000,EXACT
207,"VK TAMIL SILVER PACK,  STAR VIJAY",MSO_PACKAGE,250.00,1,582,VK TAMIL SILVER PACK NEW,ADDON,215.02,0.571,REVIEW
208,BASIC + SUN TV,MSO_PACKAGE,195.00,3,800,SUN TV,ALACARTE,25.00,0.667,REVIEW
209,VK TAMIL + Disney Pack,MSO_PACKAGE,325.00,3,581,VK TAMIL,ADDON,300.00,0.500,REVIEW
210,K TAMIL ONE + Disney Kids Pack,MSO_PACKAGE,320.00,10,488,Disney Kids Pack,BROADCAST,22.10,0.571,REVIEW
211,vk,MSO_PACKAGE,300.00,1,580,VK ONE,ADDON,280.00,0.500,REVIEW
212,K TAMIL ONE + SONY SPORTS TEN 1,MSO_PACKAGE,325.00,1,735,SONY SPORTS TEN 1,ALACARTE,25.00,0.586,REVIEW
